nom,variete,pays,temperature,floral,fruite,boise,terreux,epice,vegetal,url
Nan Mei bourgeons de théiers sauvages,Thé blanc,Chine,80,1,3,1,0,1,1,https://camellia-sinensis.com/fr/nan-mei-bourgeons-de-theiers-sauvages/2205
Népal 1st flush Jun Chiyabari biologique,Thé noir,Népal,95,2,0,1,0,0,1,https://camellia-sinensis.com/fr/nepal-1st-flush-jun-chiyabari-biologique/2232
Népal automnal Jun Chiyabari biologique,Thé noir,Népal,95,0,2,2,0,0,1,https://camellia-sinensis.com/fr/nepal-automnal-jun-chiyabari-biologique/2245
Pu Er Sheng 1983 Menghai,Thé pu er et vieilli,Chine,95,0,0,2,2,1,0,https://camellia-sinensis.com/fr/pu-er-sheng-1983-menghai/4450
Pu Er Sheng 1986 Xia Guan,Thé pu er et vieilli,Chine,95,0,0,2,2,0,1,https://camellia-sinensis.com/fr/pu-er-sheng-1986-xia-guan/4457
Pu Er Sheng 1992 Menghai Hou Gen,Thé pu er et vieilli,Chine,95,0,1,2,1,0,0,https://camellia-sinensis.com/fr/pu-er-sheng-1992-menghai-hou-gen/2369
Pu Er Sheng 1994 7542 Da Kou Zhong,Thé pu er et vieilli,Chine,95,0,0,1,2,0,0,https://camellia-sinensis.com/fr/pu-er-sheng-1994-7542-da-kou-zhong/3596
Pu Er Sheng 1996 Menghai,Thé pu er et vieilli,Chine,95,0,1,2,0,0,1,https://camellia-sinensis.com/fr/pu-er-sheng-1996-menghai/2371
Pu Er Sheng 1998 Menghai 7542,Thé pu er et vieilli,Chine,95,0,1,1,2,0,0,https://camellia-sinensis.com/fr/pu-er-sheng-1998-menghai-7542/3403
Pu Er Sheng 2000 Menghai,Thé pu er et vieilli,Chine,95,0,2,1,3,0,0,https://camellia-sinensis.com/fr/pu-er-sheng-2000-menghai/5099
Pu Er Sheng 2000 Yellow Label,Thé pu er et vieilli,Chine,95,0,1,1,3,1,0,https://camellia-sinensis.com/fr/pu-er-sheng-2000-yellow-label/2372
Pu Er Sheng 2001 Lahu théiers sauvages de 1000 ans,Thé pu er et vieilli,Chine,95,0,1,1,3,1,0,https://camellia-sinensis.com/fr/pu-er-sheng-2001-lahu-theiers-sauvages-de-1000-ans/2368
Pu Er Sheng 2003 Yiwu Sheng Tai,Thé pu er et vieilli,Chine,95,0,1,1,2,1,0,https://camellia-sinensis.com/fr/pu-er-sheng-2003-yiwu-sheng-tai/5018
Pu Er Sheng 2006 Yiwu Big Green Tree,Thé pu er et vieilli,Chine,95,0,2,1,2,0,0,https://camellia-sinensis.com/fr/pu-er-sheng-2006-yiwu-big-green-tree/3593
Pu Er Sheng 2007 Lao Ban Zhang,Thé pu er et vieilli,Chine,95,0,1,1,2,1,0,https://camellia-sinensis.com/fr/pu-er-sheng-2007-lao-ban-zhang/3591
Pu Er Sheng 2007 Yiwu Jing Long,Thé pu er et vieilli,Chine,95,0,1,2,3,0,0,https://camellia-sinensis.com/fr/pu-er-sheng-2007-yiwu-jing-long/2361
Pu Er Sheng 2009 Bada Shan,Thé pu er et vieilli,Chine,95,0,2,1,3,0,0,https://camellia-sinensis.com/fr/pu-er-sheng-2009-bada-shan/4046
Pu Er Sheng 2015 Bada Shan,Thé pu er et vieilli,Chine,95,0,1,2,1,0,0,https://camellia-sinensis.com/fr/pu-er-sheng-2015-bada-shan/2373
Pu Er Sheng 2016 Mengsong,Thé pu er et vieilli,Chine,95,0,2,1,1,0,0,https://camellia-sinensis.com/fr/pu-er-sheng-2016-mengsong/3870
Pu Er Shou 1976 Menghai,Thé pu er et vieilli,Chine,95,0,0,2,2,1,0,https://camellia-sinensis.com/fr/pu-er-shou-1976-menghai/4453
Pu Er Shou 2003 Orange Label,Thé pu er et vieilli,Chine,95,0,1,1,3,0,0,https://camellia-sinensis.com/fr/pu-er-shou-2003-orange-label/2388
Pu Er Shou 2005 Haiwan,Thé pu er et vieilli,Chine,95,0,1,2,3,0,0,https://camellia-sinensis.com/fr/pu-er-shou-2005-haiwan/2381
Pu Er Shou 2006 Macao Scenary,Thé pu er et vieilli,Chine,95,0,2,1,3,0,0,https://camellia-sinensis.com/fr/pu-er-shou-2006-macao-scenary/2382
Pu Er Shou 2008 Jingmai biologique,Thé pu er et vieilli,Chine,95,0,1,2,3,0,0,https://camellia-sinensis.com/fr/pu-er-shou-2008-jingmai-biologique/2385
Pu Er Shou 2008 Yellow Label 7572,Thé pu er et vieilli,Chine,95,0,1,0,3,1,0,https://camellia-sinensis.com/fr/pu-er-shou-2008-yellow-label-7572/3559
Pu Er Shou 2011 Bulang Shan mini tuocha,Thé pu er et vieilli,Chine,95,0,1,1,3,0,0,https://camellia-sinensis.com/fr/pu-er-shou-2011-bulang-shan-mini-tuocha/4502
Pu Er Shou 2011 Menghai Sheng Tai Tuo Cha,Thé pu er et vieilli,Chine,95,0,0,2,3,0,0,https://camellia-sinensis.com/fr/pu-er-shou-2011-menghai-sheng-tai-tuo-cha/3357
Pu Er Shou 2018 Yongde,Thé pu er et vieilli,Chine,95,0,0,2,3,0,0,https://camellia-sinensis.com/fr/pu-er-shou-2018-yongde/5883
Qi Lan Xiang,Thé wulong,Chine,95,2,0,1,0,0,2,https://camellia-sinensis.com/fr/qi-lan-xiang/2408
Rooibos Wupperthal biologique,Rooibos,Afrique du sud,90,0,2,1,0,0,0,https://camellia-sinensis.com/fr/rooibos-wupperthal-biologique/2271
Rou Gui Ma Tou de M. Liu,Thé wulong,Chine,95,0,2,3,0,1,0,https://camellia-sinensis.com/fr/rou-gui-ma-tou-de-m-liu/5098
Rwanda Gisovu,Thé blanc,Rwanda,80,1,2,1,0,0,1,https://camellia-sinensis.com/fr/rwanda-gisovu/5556
Rwanda Rukeri biologique,Thé noir,Rwanda,95,0,1,3,0,0,0,https://camellia-sinensis.com/fr/rwanda-rukeri-biologique/3473
Sencha Ashikubo biologique,Thé vert,Japon,75,0,1,1,0,0,3,https://camellia-sinensis.com/fr/sencha-ashikubo-biologique/2314
Sencha Koshun biologique,Thé vert,Japon,75,2,0,0,0,0,3,https://camellia-sinensis.com/fr/sencha-koshun-biologique/2316
Sencha Mobata,Thé vert,Japon,75,1,0,0,0,0,3,https://camellia-sinensis.com/fr/sencha-mobata/2317
Sencha Nagashima biologique,Thé vert,Japon,75,0,1,0,0,0,3,https://camellia-sinensis.com/fr/sencha-nagashima-biologique/2318
Sencha Sakamoto,Thé vert,Japon,75,2,1,0,0,0,3,https://camellia-sinensis.com/fr/sencha-sakamoto/3687
Sencha Tsukigase biologique,Thé vert,Japon,75,1,1,1,0,0,2,https://camellia-sinensis.com/fr/sencha-tsukigase-biologique/2337
Shui Xian Lao Cong,Thé wulong,Chine,95,0,1,3,0,0,0,https://camellia-sinensis.com/fr/shui-xian-lao-cong/2410
Si Ji Chun,Thé wulong,Taiwan,95,3,1,0,0,0,2,https://camellia-sinensis.com/fr/si-ji-chun/2411
Sun Moon Lake T-18,Thé noir,Taiwan,95,1,0,2,0,2,0,https://camellia-sinensis.com/fr/sun-moon-lake-t-18/2239
Tan Huong,Thé vert,Vietnam,85,0,0,1,0,0,3,https://camellia-sinensis.com/fr/tan-huong/2321
Tea Studio | Nilgiri Bai Mu Dan,Thé blanc,Inde,75,1,1,0,0,0,2,https://camellia-sinensis.com/fr/tea-studio-nilgiri-bai-mu-dan/4522
Tea Studio | Nilgiri Coonoor,Thé noir,Inde,95,0,2,2,0,0,0,https://camellia-sinensis.com/fr/tea-studio-nilgiri-coonoor/2233
Tea Studio | Nilgiri Kukicha grillé,Thé vert,Inde,95,0,0,3,1,0,1,https://camellia-sinensis.com/fr/tea-studio-nilgiri-kukicha-grille/5417
Tea Studio | Nilgiri Mao Feng,Thé vert,Inde,85,0,1,0,0,0,3,https://camellia-sinensis.com/fr/tea-studio-nilgiri-mao-feng/4521
Thai Pu Er Sheng 2006 Hong Tai Cha,Thé pu er et vieilli,Thaïlande,95,0,3,2,2,0,0,https://camellia-sinensis.com/fr/thai-pu-er-sheng-2006-hong-tai-cha/3345
Woojeon Jeju biologique,Thé vert,Corée du Sud,85,0,1,0,0,0,3,https://camellia-sinensis.com/fr/woojeon-jeju-biologique/6483
Xin Yang Mao Jian,Thé vert,Chine,85,0,1,0,0,0,3,https://camellia-sinensis.com/fr/xin-yang-mao-jian/3660
Yakushima biologique,Thé noir,Japon,95,0,0,3,1,0,0,https://camellia-sinensis.com/fr/yakushima-biologique/6398
Yunnan Da Ye biologique,Thé noir,Chine,90,1,1,2,0,0,0,https://camellia-sinensis.com/fr/yunnan-da-ye-biologique/2261
